MthCalDt,Portfolio,Benchmark
2017-11-30,0.03450246691466008,0.030742386735781675
2017-12-29,-0.006894230829886399,0.0073170147633082674
2018-01-31,0.04335663206420693,0.05534866448744315
2018-02-28,-0.033470431144335365,-0.038785826206476116
2018-03-29,-0.0004903400088030748,-0.029591362953097496
2018-04-30,-0.007839098825701666,0.003535965164780957
2018-05-31,0.03698862444135916,0.02382125105353886
2018-06-29,-0.010103789307892531,0.0011726337962861325
2018-07-31,0.02329867052312882,0.03678087920548547
2018-08-31,0.03176289814715307,0.03182370962146695
2018-09-28,-0.004627372456279224,0.0009911650417539217
2018-10-31,-0.049667547928805234,-0.07065839481441685
2018-11-30,0.027847164374101965,0.01902882603818499
2018-12-31,-0.05374447790689329,-0.09974084402620723
2019-01-31,0.08515839934984192,0.07626601481642438
2019-02-28,0.022689021637656674,0.03178552326717234
2019-03-29,0.0008777492629455853,0.015012319892173082
2019-04-30,0.01962058597177639,0.03921260343418833
2019-05-31,0.033813948721947776,-0.06505677845265576
2019-06-28,0.04666943454971577,0.061027586795747955
2019-07-31,0.004497372905181148,0.015084969036083336
2019-08-30,-0.0011037508811338147,-0.016714795209229704
2019-09-30,0.013254564284657716,0.014339219018852668
2019-10-31,0.033773415339955246,0.02137647885076082
2019-11-29,0.017515853429621996,0.035718657867010194
2019-12-31,0.04910464854813456,0.0224630123842893
2020-01-31,-0.016207508629080228,0.0
2020-02-28,-0.04953871256189246,-0.08833972732904634
2020-03-31,-0.05437373287740204,-0.1355465821277538
2020-04-30,0.10464780118922103,0.11936417234161045
2020-05-29,0.0364486805680304,0.04702882221353236
2020-06-30,0.022378070098948263,0.014670030682018788
2020-07-31,0.06353034869410826,0.05689288011560555
2020-08-31,0.008081772258534665,0.06766606076573256
2020-09-30,-0.0048209221761595636,-0.04284102257715054
2020-10-30,-0.01785056502153029,-0.025435315273310617
2020-11-30,0.08693962585120424,0.10342958845752757
2020-12-31,-0.00014789368096067805,0.03268149691106054
2021-01-29,0.048512323243288795,-0.010362787035546547
2021-02-26,0.029658085171385348,0.02721563452468404
2021-03-31,0.034175954482999614,0.041181308642704105
2021-04-30,0.025843884610270075,0.051584841044620355
2021-05-28,0.004891423444762916,0.006591103299115355
2021-06-30,0.03886058714395434,0.019423558846530537
2021-07-30,0.003990510827640923,0.024084259981343677
2021-08-31,0.021137606557846064,0.029774822574747176
2021-09-30,-0.011109846064610785,-0.05176785796331849
2021-10-29,0.020768746642569287,0.06768598132745116
2021-11-30,-0.013598557470082349,-0.007315353430183211
2021-12-31,0.029471744773438478,0.04143452895077755
2022-01-31,-0.06707855296914915,-0.054322325541161204
2022-02-28,0.003611238316636345,-0.029311804392888084
2022-03-31,0.021324383876128224,0.0335527490568093
