MthCalDt,Portfolio,Benchmark
2017-11-30,3.450246691466008,3.074238673578167
2017-12-29,2.7370368113663446,3.8284343996695114
2018-01-31,7.191368715763646,9.575199579513338
2018-02-28,3.603627389895614,5.325234932082412
2018-03-29,3.552826386329211,2.2085176770868964
2018-04-30,2.7410655466060474,2.569923435136978
2018-05-31,6.541316234814509,5.013267331827653
2018-06-29,5.464845222992398,5.136409438159384
2018-07-31,7.922035903615687,9.003419013802795
2018-08-31,11.349952537855646,12.472312168245136
2018-09-28,10.834694834473968,12.583790792231554
2018-10-31,5.329807316608237,4.6288008527303415
2018-11-30,8.262943774446319,6.619764102740855
2018-12-31,2.444408384625363,-4.014581158741626
2019-01-31,11.16841022500159,3.305844216766496
2019-02-28,13.690712690020558,6.589474531753425
2019-03-29,13.79050462928797,8.189629820562727
2019-04-30,16.02314100813873,12.432026870408098
2019-05-31,19.946341548747238,5.117561407316917
2019-06-28,25.54416948513436,11.532632509859319
2019-07-31,26.10878843138027,13.2150988177834
2019-08-30,25.969595745030418,11.322731626451453
2019-09-30,27.639267849745263,12.919012657020112
2019-10-31,31.950081856522505,15.332823542931706
2019-11-29,34.261300150347985,19.45235720789793
2019-12-31,40.854154107846426,22.135616987191487
2020-01-31,38.5712591897017,22.135616987191487
2020-02-28,31.70661741136358,11.346189885378145
2020-03-31,24.54523697805191,-3.7464055865327417
2020-04-30,37.57862217639551,7.742825045535828
2020-05-29,42.593181429092695,12.809843209386074
2020-06-30,45.78414163874498,14.464767070501505
2020-07-31,55.045858991125726,20.97699734090426
2020-08-31,56.29890431312088,29.16303419422974
2020-09-30,55.54539945920831,23.629557730181496
2020-10-30,52.76882619236181,20.48500095221437
2020-11-30,66.0504907832534,32.94671501600672
2020-12-31,66.02593296494615,37.29161267213799
2021-01-29,74.0802366917102,35.86888892824989
2021-02-26,79.24312317816783,39.56664695259604
2021-03-31,85.36892799729559,45.314184116978225
2021-04-30,90.15958118278714,52.81019320618123
2021-05-28,91.08973221643093,53.817380974760944
2021-06-30,98.51559140754243,56.805061925743416
2021-07-30,99.3077700245098,60.58159580355373
2021-08-31,103.52065925120955,65.36288432737432
2021-09-30,101.25957605596052,56.80240201911013
2021-10-29,105.43948520045765,67.41572647427509
2021-11-30,102.64580455433511,66.19102126534489
2021-12-31,108.61812998556859,73.07706794732312
2022-01-31,94.6243277030068,63.67511911857895
2022-02-28,95.32716253255751,58.87750604299251
2022-03-31,99.49239392783664,64.20828313402474
