Ticker,Beta,Alpha,StdErrA,StdErrB,R-squared,CAPM,AdjCAPM,Sharpe Ratio (Arth),Sharpe Ratio (Log),Sortino Ratio (Arth),Sortino Ratio (Log),Purchase Closing Price,Recent Closing Price,Look Back Common Shares,Purchase Price Common Shares,Current Common Shares,Current Market Value,+SortinoWeight,bruteAllocation
CLDX,2.7641675964749126,0.020463079931512997,0.06573072759134779,1.326356991168455,0.07847724841222381,0.14872688261317035,0.14981142584954055,0.03857733578883004,0.11416573321534379,0.39559293450669003,0.24943486038994475,273.8,34.6,2.9,6.0,46.8,1596.8,0.05953255415045588,0.01869512905920376
CDNS,1.0809938169901414,0.013791883975241346,0.008563533991452689,0.17280050890790818,0.43417699597445036,0.05951867230047749,0.06024964215116529,0.35814636691350826,0.3654874524741946,0.6678074941533486,0.6091480178830724,19.0,148.6,272.3,292.7,274.3,40886.8,0.08,0.018412968980839137
ORCL,0.8094176008616086,0.0005920212739830265,0.006541836316891434,0.13200539005034212,0.4243646719802997,0.04512513284566526,0.04515650997318636,0.4086978562218705,0.41414914406978043,0.9030831651837867,0.8629139032513419,45.0,75.2,5025.8,4391.4,2695.7,201688.8,0.08,0.01835929302471874
CUZ,1.56432734172628,0.01167114773175427,0.02655979633012906,0.5359406907145513,0.14314013823184624,0.08513534911149284,0.08575391994127582,0.08799978751232133,0.18160832284605793,0.8954008810664317,0.8191758937161481,45.7,23.2,25.9,54.1,151.4,3586.0,0.08,0.01830889885941033
SLGN,0.7568822540957801,0.0006206841525519394,0.006932565091888702,0.13988976713483572,0.36467741595421166,0.04234075946707635,0.0423736557271616,0.3859530414423239,0.3974476803888175,0.7391754025829484,0.6943028133492972,26.8,46.8,139.6,126.4,110.2,5146.0,0.001,0.01818821314193569
ELV,1.0110078709782384,0.005397258098664426,0.009182792224551262,0.18529630070737446,0.3685756955091405,0.05580941716184663,0.056095471841075856,0.3379694435184518,0.3469012213407259,0.8264274988826084,0.7715099185147372,125.7,531.6,347.9,269.9,238.8,127431.2,0.001,0.01813589150033297
ICLR,0.9725092485008195,0.003210022962702956,0.007982494713512017,0.16107592382144204,0.4168256614007353,0.053768990170543436,0.053939121387566694,0.3729618715065749,0.37551279512838004,0.6189138765555815,0.5760558301352949,51.0,191.8,60.1,61.6,81.5,16110.5,0.001,0.01804496876970213
MA,1.0597157645739075,0.005312425641511599,0.007840968652743037,0.15822011973997047,0.4679718949351349,0.058390935522417094,0.05867249408141721,0.3826235112790716,0.3827642249794885,0.5984441284902379,0.5494586896901873,86.2,319.4,1213.6,1112.9,958.7,308766.8,0.001,0.01789562523592175
UNH,0.8501748684433603,0.007716550750863487,0.007612836445466042,0.1536167210081974,0.3752256720974766,0.0472852680274981,0.04769424521729387,0.3700245484775735,0.3799567494590864,0.872579891009534,0.8246573131920644,101.1,541.8,1066.0,959.8,935.4,508071.8,0.00842272143321989,0.017529248070173444
SCHW,0.993071120594476,0.001395646382152769,0.009194636381739363,0.18553529974582425,0.35968965469304004,0.05485876939150723,0.05493273864976132,0.3379295479435308,0.34549273202092573,0.6960625461552825,0.6453269542861024,30.2,77.3,1270.0,1305.8,1817.8,138392.5,0.001,0.01711322023620861
KLAC,1.203075753879207,0.010134880030766404,0.009455758660599396,0.19080439340730126,0.4380573813687453,0.06598901495559797,0.06652616359722859,0.34421551215526813,0.3508879501884379,0.7207537548693458,0.6528002738847652,70.3,308.9,166.7,164.5,141.8,43449.9,0.08,0.016726261144649694
TXN,0.9115851816940532,0.002432164950769959,0.0064788791185659035,0.130734999120508,0.4880522042014227,0.05054001462978482,0.05066891937217563,0.41656856689320165,0.4188724470771461,0.6933143528931626,0.6445567663225492,53.5,156.8,1142.7,1056.3,907.6,143278.3,0.001,0.016546609749234265
TSCO,0.9637470900416981,0.015339361903514972,0.008098718957855097,0.16342117154159672,0.4054446841565049,0.053304595772209994,0.05411758195309629,0.36420497547007175,0.3719057705494037,0.6484879743526685,0.6024542767842701,78.8,215.6,142.1,135.9,111.0,23971.6,0.001,0.016103329411768653
TGT,1.0000811233657847,0.013547977590867018,0.009738949941862791,0.1965188096248862,0.33678172598172085,0.05523029953838659,0.05594834235070255,0.323094752695797,0.3332399039200667,0.6806746863797547,0.6317115591380253,75.9,166.9,671.6,637.0,460.3,76758.0,0.08,0.016092047694505306
